FMID,MarketName,street,city,County,State,zip,Longitude,Latitude,Location
1012063,Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,5828,-72.140305,44.411013,
1011871,Stearns Homestead Farmers Market,6975 Ridge Road,Parma,Cuyahoga,Ohio,44130,-81.7285969,41.375118,
1011878,100 Mile Market,507 Harrison St,Kalamazoo,Kalamazoo,Michigan,49007,-85.574887,42.296023999999996,
1009364,106 S. Main Street Farmers Market,106 S. Main Street,Six Mile,,South Carolina,29682,-82.8187,34.8042,
1010691,10th Steet Community Farmers Market,10th Street And Poplar,Lamar,Barton,Missouri,64759,-94.2746191,37.495628,
1002454,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939,Private business parking lot
1011100,12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.79070899999999,36.11837,
1009845,125th Street Fresh Connect Farmers Market,"163 West 125th Street And Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94824770000001,40.8089533,Federal/State government building grounds
1005586,12th And Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.53446,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc"
1008071,14Andu Farmers Market,1400 U Street Nw,Washington,District of Columbia,District of Columbia,20009,-77.0320505,38.9169984,Other
1012710,14th And Kennedy Street Farmers Market,"5500 Colorado Avenue, Nw",Washington,District of Columbia,District of Columbia,20011,-77.03344859999999,38.9559783,
1010284,175th Street Greenmarket,175th Street At Wadsworth Ave,New York,New York,New York,10033,-73.93780240000001,40.8459583,Closed-off public street
1003877,17th Ave Market,1622 6th St Ne,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)"
1002619,17th Street Farmers Market,17th & Main Streets,Richmond,Henrico,Virginia,23219,-77.4886,37.5583,
1010968,18th And Christian Farmers Market,18th Street And Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.17343100000001,39.940943,
1009994,18th Street Farmers Market,18th And Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.662538,41.864268,
1010376,18th Street Farmers Market,825 18th Street,Charleston,Coles,Illinois,61920,-88.16325400000001,39.490737,
1012790,19/27 Community Farmers Market,Ne 7th Ave,Chiefland,Levy,Florida,32626,-82.85787320000001,29.484854100000003,
1012158,21 Acres Farm Market,13701 Ne 171st Street,Woodinville,King,Washington,98072,-122.1569875,47.75023970000001,
1010873,21st Street Farmers Market,Sw 21st And Oakley,Topeka,Shawnee,Kansas,66604,-95.71451400000001,39.028184,
1005309,22nd And Tasker Farmers Market,22nd And Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.181286,39.932257,
1000709,22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,-73.99435799999999,40.404837,
1011881,25th Street Market - North Logan At The Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206049,41.778243700000004,
1010966,26th And Allegheny,26th Street And W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.17228829999999,40.0040946,
1005299,29th And Wharton Farmers Market,29th And Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373,
