FMID,MarketName,Website,Website_1,Facebook,Facebook_1,Twitter,Twitter_1,Youtube,Youtube_1,OtherMedia,OtherMedia_1,Season1Date,Season1Date_Start,Season1Date_End,Season1Time,Season1Time 1,Season1Time 2,Season1Time 3,Season1Time 4,Season1Time 5,Season1Time 6,Season1Time 7,Season2Date,Season2Date 1,Season2Date 2,Season2Time,Season2Time 1,Season2Time 2,Season2Time 3,Season2Time 4,Season2Time 5,Season2Time 6,Season2Time 7,Season3Date 1,Season3Date 2,Season3Time,Season3Time 1,Season3Time 2,Season3Time 3,Season3Time 4,Season3Time 5,Season3Time 6,Season4Date,Season4Date 1,Season4Date 2,Season4Time,Season4Time 1,Season4Time 2
1012063,Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,,,06/08/2016 to 10/12/2016,2016-06-08,2016-10-12,Wed: 9:00 AM-1:00 PM;,Wed: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011871,Stearns Homestead Farmers Market,http://Stearnshomestead.com,http://Stearnshomestead.com,,,,,,,,,06/25/2016 to 10/01/2016,2016-06-25,2016-10-01,Sat: 9:00 AM-1:00 PM;,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011878,100 Mile Market,http://www.pfcmarkets.com,http://www.pfcmarkets.com,https://www.facebook.com/100MileMarket/?fref=ts,https://www.facebook.com/100MileMarket/?fref=ts,,,,,https://www.instagram.com/100milemarket/,https://www.instagram.com/100milemarket/,05/04/2016 to 10/12/2016,2016-05-04,2016-10-12,Wed: 3:00 PM-7:00 PM;,Wed: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,http://thetownofsixmile.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010691,10th Steet Community Farmers Market,,,,,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,04/02/2014 to 11/30/2014,2014-04-02,2014-11-30,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,Wed: 3:00 PM-6:00 PM,Sat: 8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002454,112st Madison Avenue,,,,,,,,,,,July to November,2010-07-01,2010-11-30,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,Tue:8:00 am - 5:00 pm,Sat:8:00 am - 8:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,http://www.12southfarmersmarket.com,12_South_Farmers_Market,,@12southfrmsmkt,@12southfrmsmkt,,,@12southfrmsmkt,@12southfrmsmkt,05/05/2015 to 10/27/2015,2015-05-05,2015-10-27,Tue: 3:30 PM-6:30 PM;,Tue: 3:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,125th Street Fresh Connect Farmers Market,http://www.125thStreetFarmersMarket.com,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,https://twitter.com/FarmMarket125th,,,Instagram--> 125thStreetFarmersMarket,Instagram--> 125thStreetFarmersMarket,06/10/2014 to 11/25/2014,2014-06-10,2014-11-25,Tue: 10:00 AM-7:00 PM;,Tue: 10:00 AM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005586,12th And Brandywine Urban Farm Market,,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,,,https://www.facebook.com/delawareurbanfarmcoalition,https://www.facebook.com/delawareurbanfarmcoalition,05/16/2014 to 10/17/2014,2014-05-16,2014-10-17,Fri: 8:00 AM-11:00 AM;,Fri: 8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008071,14Andu Farmers Market,,,https://www.facebook.com/14UFarmersMarket,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,https://twitter.com/14UFarmersMkt,,,,,05/03/2014 to 11/22/2014,2014-05-03,2014-11-22,Sat: 9:00 AM-1:00 PM;,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012710,14th And Kennedy Street Farmers Market,,,https://www.facebook.com/14KennnedyFarmersMarket/,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,,,instagram:14kenfm,instagram:14kenfm,04/09/2016 to 11/19/2016,2016-04-09,2016-11-19,Sat: 9:00 AM-1:00 PM;,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010284,175th Street Greenmarket,http://www.grownyc.org/ourmarkets,http://www.grownyc.org/ourmarkets,,,,,,,,,06/26/2014 to 11/20/2014,2014-06-26,2014-11-20,Thu: 8:00 AM-5:00 PM;,Thu: 8:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003877,17th Ave Market,http://www.iatp.org/minimarkets,http://www.iatp.org/minimarkets,,,,,,,,,June to September,2010-06-01,2010-09-30,Wed:3:00 PM - 7:00 PM;,Wed:3:00 PM - 7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002619,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,http://www.17thstreetfarmersmarket.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010968,18th And Christian Farmers Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,,,,,06/01/2015 to 11/15/2015,2015-06-01,2015-11-15,Thu: 3:00 PM-7:00 PM;,Thu: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009994,18th Street Farmers Market,,,https://www.facebook.com/ScottsbluffFarmersMarket,https://www.facebook.com/ScottsbluffFarmersMarket,,,,,,,06/07/2014 to 09/27/2014,2014-06-07,2014-09-27,Sat: 8:00 AM-11:00 AM;,Sat: 8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010376,18th Street Farmers Market,,,https://www.facebook.com/groups/631614906915563/,https://www.facebook.com/groups/631614906915563/,,,,,,,05/14/2016 to 10/01/2016,2016-05-14,2016-10-01,Sat: 8:00 AM-12:00 PM;,Sat: 8:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012790,19/27 Community Farmers Market,,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,,,,09/03/2016 to 06/24/2017,2016-09-03,2017-06-24,Sat: 8:30 AM-1:00 PM;,Sat: 8:30 AM-1:00 PM,,,,,,,09/02/2017 to 06/30/2018,9/2/17, 06/30/2018,Sat: 8:30 AM-1:00 PM;,Sat: 8:30 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,
1012158,21 Acres Farm Market,http://21acres.org,http://21acres.org,https://www.facebook.com/21Acres/,https://www.facebook.com/21Acres/,@21acres,@21acres,21AcresCenter's channel,,Instagram @21acres,http://www.instagram.com/21acres,01/01/2016 to 12/31/2016,2016-01-01,2016-12-31,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,Wed: 11:00 AM-6:00 PM,Thu: 11:00 AM-6:00 PM,Fri: 11:00 AM-6:00 PM,Sat: 11:00 AM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010873,21st Street Farmers Market,,,,,,,,,,,06/05/2015 to 10/30/2015,2015-06-05,2015-10-30,Fri: 7:30 AM-12:00 PM;,Fri: 7:30 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005309,22nd And Tasker Farmers Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,,,,,06/01/2015 to 11/01/2015,2015-06-01,2015-11-01,Tue: 2:00 PM-6:00 PM;,Tue: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,,,,06/25/2016 to 11/05/2016,2016-06-25,2016-11-05,Sat: 8:30 AM-2:00 PM;,Sat: 8:30 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011881,25th Street Market - North Logan At The Library Summer 2016,http://northloganmarket.com,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,,,,Instagram: north logan market (25th Street Market),Instagram: north logan market  (25th Street Market),05/07/2016 to 10/15/2016,2016-05-07,2016-10-15,Sun: 9:00 AM-1:00 PM;,Sun: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010966,26th And Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,,,,,06/01/2015 to 11/15/2015,2015-06-01,2015-11-15,Wed: 1:00 PM-5:00 PM;,Wed: 1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005299,29th And Wharton Farmers Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,,,,,06/01/2015 to 11/15/2015,2015-06-01,2015-11-15,Tue: 2:00 PM-6:00 PM;,Tue: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010994,2nd Street Farmers Market,http://secondstageAmherst.org,http://secondstageAmherst.org,second stage of AMherst,,,,,,,,05/05/2016 to 09/01/2016,2016-05-05,2016-09-01,Thu: 3:30 PM-6:30 PM;,Thu: 3:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009959,2nd Street Market - Five Rivers Metropark,http://www.metroparks.org,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,https://www.facebook.com/2ndStreetMarket/,,,,,,,01/01/2016 to 12/31/2016,2016-01-01,2016-12-31,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,Thu: 11:00 AM-3:00 PM,Fri: 11:00 AM-3:00 PM,Sat: 8:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,,,,05/10/2014 to 10/11/2014,2014-05-10,2014-10-11,Sat: 8:00 AM-2:00 PM;,Sat: 8:00 AM-2:00 PM,,,,,,,11/14/2014 to 11/15/2014,11/14/14, 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,Fri: 4:30 PM-10:00 PM,Sat: 9:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,
1010775,30a Farmers Market,,,https://www.facebook.com/30aFarmersMarket?ref=hl,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,,,,01/18/2015 to 01/05/2020,2015-01-18,2020-01-05,Sun: 9:00 AM-1:00 PM;,Sun: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012342,31 And Main Farmers Market At Campus Town,http://www.31mainfarmersmarket.com/,http://www.31mainfarmersmarket.com/,https://www.facebook.com/31mainfarmersmarket/,https://www.facebook.com/31mainfarmersmarket/,https://twitter.com/31MainFarmMarkt,https://twitter.com/31MainFarmMarkt,,,https://instagram.com/31MainFarmersMarket,https://instagram.com/31MainFarmersMarket,06/12/2016 to 10/30/2016,2016-06-12,2016-10-30,Sun: 10:00 AM-2:00 PM;,Sun: 10:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005636,32nd Street/waverly Farmers Market,http://www.32ndstreetmarket.org,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,,,,01/01/2013 to 12/31/2013,2013-01-01,2013-12-31,Sat: 7:00 AM-12:00 PM;,Sat: 7:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005310,33rd And Diamond Farmers Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,,,,,06/01/2015 to 11/01/2015,2015-06-01,2015-11-01,Thu: 2:00 PM-6:00 PM;,Thu: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012784,38th And Meridian Farmers Market,http://www.meridianfarmersmarket.org,http://www.meridianfarmersmarket.org,https://www.facebook.com/38th-Meridian-Farmers-Market-501761683311307,https://www.facebook.com/38th-Meridian-Farmers-Market-501761683311307,,,,,,,06/02/2016 to 09/29/2016,2016-06-02,2016-09-29,Thu: 4:00 PM-6:30 PM;,Thu: 4:00 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012280,39 North Marketplace,http://www.39northdowntown.com,http://www.39northdowntown.com,39 North,,39North Downtown,,,,,,06/09/2016 to 08/18/2016,2016-06-09,2016-08-18,Thu: 4:00 PM-9:00 PM;,Thu: 4:00 PM-9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004414,3rd And Curry St. Farmers Market,http://www.carsonfarmersmarket.com,http://www.carsonfarmersmarket.com,,,,,,,,,June to September,2010-06-01,2010-09-30,Sat:8:30 AM - 1:30 PM;,Sat:8:30 AM - 1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011213,441 Ministries Farm Stand,,,,,,,,,,,,,,Tue: 3:00 PM-7:00 PM;,Tue: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010965,4th And Lehigh Farmers Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,,,,,06/01/2015 to 11/22/2015,2015-06-01,2015-11-22,Tue: 1:00 PM-5:00 PM;,Tue: 1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,http://www.4thstreetfarmersmarket.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006494,52 And Shadeland Avenue Farmers Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005304,52nd And Haverford Farmers Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,,,,,06/01/2015 to 11/15/2015,2015-06-01,2015-11-15,Wed: 1:00 PM-5:00 PM;,Wed: 1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060,57th Street Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,04/20/2013 to 12/21/2013,2013-04-20,2013-12-21,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,Wed: 8:00 AM-5:00 PM,Sat: 8:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005306,58th And Chester Farmers Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,,,,,06/01/2015 to 11/01/2015,2015-06-01,2015-11-01,Wed: 2:00 PM-6:00 PM;,Wed: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011895,61st Street Farmers Market,http://www.experimentalstation.org/market,http://www.experimentalstation.org/market,http://www.facebook.com/61stStreetFarmersMarket/,http://www.facebook.com/61stStreetFarmersMarket/,http://twitter.com/61market,http://twitter.com/61market,,,http://www.instagram.com/61market/,http://www.instagram.com/61market/,05/14/2016 to 10/29/2016,2016-05-14,2016-10-29,Sat: 9:00 AM-2:00 PM;,Sat: 9:00 AM-2:00 PM,,,,,,,11/05/2016 to 12/31/2016,11/5/16, 12/31/2016,Sat: 9:00 AM-2:00 PM;,Sat: 9:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,
1010386,6th Ave Farmers Market,http://www.tacomafarmersmarket.com,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,https://www.facebook.com/TacomaFarmersMarket,,,,,,,05/06/2014 to 09/30/2014,2014-05-06,2014-09-30,Tue: 3:00 PM-7:00 PM;,Tue: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
